moXP_036134596.1	moXP_036134596.1
rfXP_032949962.1	rfXP_032949962.1
sbXP_066109641.1	sbXP_066109641.1
sbXP_066109641.1	sbXP_066109641.1
sbXP_066099452.1	sbXP_066099452.1
sbXP_066120924.1	sbXP_066120924.1
sbXP_066120924.1	sbXP_066120924.1
sbXP_066097761.1	sbXP_066097761.1
sbXP_066097761.1	sbXP_066097761.1
sbXP_066097761.1	sbXP_066097759.1
sbXP_066097761.1	sbXP_066097760.1
sbXP_066097761.1	sbXP_066097759.1
sbXP_066097761.1	sbXP_066097760.1
sbXP_066097761.1	sbXP_066097759.1
sbXP_066097761.1	sbXP_066097760.1
sbXP_066097761.1	sbXP_066097759.1
sbXP_066097761.1	sbXP_066097760.1
sbXP_066124303.1	sbXP_066124303.1
sbXP_066121380.1	sbXP_066121380.1
sbXP_066121380.1	sbXP_066121380.1
sbXP_066111248.1	sbXP_066111248.1
sbXP_066110595.1	sbXP_066110595.1
sbXP_066109601.1	sbXP_066109601.1
ajXP_036990240.2	ajXP_036990240.2
ajXP_037011935.2	ajXP_037011935.2
ajXP_037015468.2	ajXP_037015468.2
ajXP_036985898.2	ajXP_036985898.2
ajXP_053519945.1	ajXP_053519945.1
ajXP_053519945.1	phXP_045698022.1
ajXP_053519945.1	pdXP_028370015.1
ajXP_053519945.1	drXP_053778191.1
ajXP_036997900.2	ajXP_036997900.2
drXP_024434807.1	drXP_024434807.1
drXP_024427054.1	drXP_024427054.1
drXP_024414225.1	drXP_024414225.1
drXP_053776364.1	drXP_053776364.1
drXP_053771559.1	drXP_053771559.1
efXP_008144082.2	efXP_008144082.2
efXP_008144082.2	mbXP_005867727.1
efXP_008144082.2	mmXP_036200609.1
efXP_008144082.2	enKAK1329227.1
efXP_008144082.2	mdXP_059529452.1
efXP_008144082.2	mlXP_023609785.1
efXP_008140390.1	efXP_008140390.1
efXP_008140390.1	mdXP_059513190.1
efXP_008140390.1	mmXP_036186401.1
efXP_008151462.2	efXP_008151462.2
efXP_054572714.1	efXP_054572714.1
enKAK1342498.1	enKAK1342498.1
enKAK1342498.1	efXP_008154622.2
enKAK1329033.1	enKAK1329033.1
enKAK1345839.1	enKAK1345839.1
enKAK1340861.1	enKAK1340861.1
enKAK1340861.1	mbXP_014400085.1
enKAK1340861.1	mmXP_036153669.1
enKAK1333983.1	enKAK1333983.1
enKAK1333983.1	enKAK1333983.1
enKAK1331060.1	enKAK1331060.1
enKAK1331060.1	efXP_008151904.2
enKAK1327737.1	enKAK1327737.1
enKAK1327737.1	enKAK1327737.1
mbXP_005874881.1	mbXP_005874881.1
mbXP_005874881.1	mbXP_005874881.1
mbXP_014402088.1	mbXP_014402088.1
mbXP_005868891.2	mbXP_005868891.2
mdXP_059552121.1	mdXP_059552121.1
mdXP_059552121.1	mmXP_036167870.1
mlXP_023615722.1	mlXP_023615722.1
mlXP_006081542.2	mlXP_006081542.2
mlXP_006081542.2	mlXP_006081542.2
mlXP_006081542.2	mbXP_005857948.1
mlXP_006081542.2	mbXP_005857948.1
mlXP_006098142.1	mlXP_006098142.1
mlXP_006093313.1	mlXP_006093313.1
mlXP_006093313.1	mbXP_014387934.1
mlXP_006088447.2	mlXP_006088447.2
mlXP_006088447.2	mlXP_006088447.2
mlXP_014302714.2	mlXP_014302714.2
mlXP_014302714.2	mbXP_005870789.1
mlXP_014319257.1	mlXP_014319257.1
mlXP_023607934.1	mlXP_023607934.1
mmXP_036207526.1	mmXP_036207526.1
mmXP_036207526.1	rfXP_032969810.1
mmXP_036207526.1	efXP_008153091.3
mmXP_036207526.1	moXP_036112522.1
mmXP_036207526.1	mdXP_059544555.1
mmXP_036193871.1	mmXP_036193871.1
mmXP_036193871.1	mdXP_059561757.1
moXP_036096357.1	moXP_036096357.1
moXP_036097796.1	moXP_036097796.1
moXP_036132658.1	moXP_036132658.1
moXP_036110803.1	moXP_036110803.1
moXP_036096481.1	moXP_036096481.1
moXP_036096481.1	moXP_036096483.1
moXP_036096481.1	moXP_036096484.1
moXP_036096481.1	moXP_036096485.1
moXP_036096481.1	moXP_036096480.1
moXP_036104901.1	moXP_036104901.1
moXP_036134606.1	moXP_036134606.1
paXP_024896066.1	paXP_024896066.1
paXP_006909006.1	paXP_006909006.1
paXP_006909006.1	raXP_015983236.2
paXP_006909006.1	pvXP_011381154.1
paXP_006909006.1	pgXP_039721706.1
paXP_024896887.1	paXP_024896887.1
pdXP_028377008.1	pdXP_028377008.1
pdXP_028377008.1	pdXP_028377008.1
pdXP_035881026.1	pdXP_035881026.1
pdXP_035867525.1	pdXP_035867525.1
pdXP_035867525.1	moXP_036105648.1
pdXP_035867525.1	pgXP_039702360.1
pdXP_035867525.1	pvXP_011370332.1
pdXP_035867525.1	paXP_006916387.1
pdXP_035867525.1	drXP_053772464.1
pdXP_035867525.1	mdXP_059541443.1
pdXP_035867525.1	mbXP_014393356.1
pdXP_035867525.1	mmXP_036157955.1
pdXP_035867525.1	mlXP_006086267.1
pdXP_035867525.1	mlXP_023607626.1
pdXP_035867525.1	raXP_015991656.2
pgXP_039692204.1	pgXP_039692204.1
pgXP_039692204.1	pgXP_039692205.1
pgXP_039692204.1	pvXP_011380576.1
pgXP_039692204.1	pvXP_011380577.1
pgXP_039692204.1	pvXP_011380580.1
pgXP_039692204.1	pvXP_011380579.1
pgXP_039692204.1	raXP_016021831.2
pgXP_039692204.1	raXP_016021832.2
pgXP_039692204.1	raXP_016021830.2
pgXP_039736275.1	pgXP_039736275.1
pgXP_039736275.1	paXP_006923210.1
pgXP_039736275.1	pvXP_011360588.1
pgXP_039739028.1	pgXP_039739028.1
pgXP_039739028.1	raXP_015977173.2
pgXP_039739028.1	paXP_006904729.1
pgXP_039739028.1	pvXP_011378189.1
phXP_045682129.1	phXP_045682129.1
phXP_045682129.1	pdXP_035879700.1
phXP_045685891.1	phXP_045685891.1
phXP_045685891.1	pdXP_028389165.1
phXP_045698080.1	phXP_045698080.1
phXP_045698080.1	pdXP_028368812.1
phXP_045696696.1	phXP_045696696.1
pkXP_036279205.1	pkXP_036279205.1
pkXP_036279205.1	pnCAK6446293.1
pkXP_036308958.1	pkXP_036308958.1
pkXP_036308958.1	pkXP_036308958.1
pkXP_036307386.1	pkXP_036307386.1
pkXP_036276049.1	pkXP_036276049.1
pkXP_036276049.1	pnCAK6433284.1
pkXP_045434107.1	pkXP_045434107.1
pkXP_045440687.1	pkXP_045440687.1
pkXP_045440687.1	pkXP_045440686.1
pnCAK6433662.1	pnCAK6433662.1
pnCAK6433662.1	pkXP_036288686.1
pnCAK6440078.1	pnCAK6440078.1
pgXP_039700899.1	pgXP_039700899.1
pgXP_039700899.1	pvXP_023386671.1
pgXP_039700899.1	paXP_015448992.1
pgXP_039700899.1	pvXP_011358829.1
pgXP_039700899.1	pgXP_039700898.1
pgXP_039729186.1	pgXP_039729186.1
pgXP_039729186.1	pgXP_039729187.1
pgXP_039729186.1	raXP_016009044.1
pgXP_039729186.1	pvXP_023379179.1
pgXP_039729186.1	pvXP_023379180.1
pgXP_039729186.1	pvXP_011378549.1
pgXP_039729186.1	pvXP_023379175.1
pgXP_039729186.1	pvXP_023379176.1
pgXP_039729186.1	pvXP_023379177.1
pgXP_039729186.1	pvXP_023379178.1
pgXP_039729186.1	pgXP_039729188.1
pgXP_039702935.1	pgXP_039702935.1
pgXP_039723568.1	pgXP_039723568.1
pgXP_039723568.1	paXP_006904425.1
pgXP_039723568.1	rfXP_032990812.1
pgXP_039723568.1	raXP_015997009.1
pgXP_039723568.1	pvXP_011364989.1
pgXP_039723568.1	pnCAK6445261.1
pgXP_039723568.1	mmXP_036169642.1
pgXP_039723568.1	pdXP_028377435.1
pgXP_039723568.1	drXP_024416716.2
pgXP_039723568.1	mlXP_023600049.1
pgXP_039723568.1	moXP_036097244.1
pgXP_039723568.1	phXP_045709421.1
pgXP_039723568.1	ajXP_037008741.1
pgXP_039723568.1	mdXP_059551123.1
pgXP_039692350.1	pgXP_039692350.1
pgXP_039692350.1	efXP_008139140.1
pgXP_039692350.1	pgXP_039692351.1
pgXP_039692350.1	pvXP_011365755.1
pgXP_039692350.1	raXP_036080605.1
pgXP_039692350.1	rfXP_032951945.1
pgXP_039692350.1	sbXP_066128926.1
pgXP_039692350.1	sbXP_066128926.1
pgXP_039692350.1	sbXP_066128925.1
pgXP_039692350.1	sbXP_066128928.1
pgXP_039692350.1	sbXP_066128923.1
pgXP_039692350.1	pgXP_039692351.1
pgXP_039692350.1	pgXP_039692352.1
pgXP_039692350.1	pvXP_023390691.1
pgXP_039692350.1	raXP_036080606.1
pgXP_039692350.1	rfXP_032951947.1
pgXP_039692350.1	sbXP_066128927.1
pgXP_039692350.1	sbXP_066128927.1
pgXP_039692350.1	sbXP_066128926.1
pgXP_039692350.1	sbXP_066128924.1
pgXP_039692350.1	pgXP_039692352.1
pgXP_039692350.1	pgXP_039692353.1
pgXP_039692350.1	pvXP_023390692.1
pgXP_039692350.1	raXP_036080607.1
pgXP_039692350.1	rfXP_032951948.1
pgXP_039692350.1	sbXP_066128928.1
pgXP_039692350.1	sbXP_066128928.1
pgXP_039692350.1	sbXP_066128927.1
pgXP_039692350.1	sbXP_066128925.1
pgXP_039692350.1	pgXP_039692353.1
pgXP_039692350.1	pvXP_023390693.1
pgXP_039692350.1	raXP_036080608.1
pgXP_039692350.1	rfXP_032951949.1
pgXP_039692350.1	sbXP_066128928.1
pgXP_039692350.1	sbXP_066128926.1
pgXP_039692350.1	pgXP_039692348.1
pgXP_039692350.1	pvXP_011365755.1
pgXP_039692350.1	raXP_036080609.1
pgXP_039692350.1	rfXP_032951950.1
pgXP_039692350.1	sbXP_066128927.1
pgXP_039692350.1	pgXP_039692349.1
pgXP_039692350.1	pvXP_023390691.1
pgXP_039692350.1	raXP_036080605.1
pgXP_039692350.1	rfXP_032951947.1
pgXP_039692350.1	rfXP_032951951.1
pgXP_039692350.1	sbXP_066128928.1
pgXP_039692350.1	pgXP_039692350.1
pgXP_039692350.1	pvXP_023390692.1
pgXP_039692350.1	raXP_036080606.1
pgXP_039692350.1	rfXP_032951948.1
pgXP_039692350.1	rfXP_032951952.1
pgXP_039692350.1	sbXP_066128921.1
pgXP_039692350.1	pgXP_039692351.1
pgXP_039692350.1	pvXP_023390693.1
pgXP_039692350.1	raXP_036080607.1
pgXP_039692350.1	rfXP_032951949.1
pgXP_039692350.1	rfXP_032951945.1
pgXP_039692350.1	sbXP_066128923.1
pgXP_039692350.1	pgXP_039692352.1
pgXP_039692350.1	pvXP_011365755.1
pgXP_039692350.1	raXP_036080608.1
pgXP_039692350.1	rfXP_032951950.1
pgXP_039692350.1	rfXP_032951947.1
pgXP_039692350.1	sbXP_066128924.1
pgXP_039692350.1	paXP_006923043.1
pgXP_039692350.1	pgXP_039692353.1
pgXP_039692350.1	pvXP_023390691.1
pgXP_039692350.1	raXP_036080609.1
pgXP_039692350.1	rfXP_032951947.1
pgXP_039692350.1	rfXP_032951951.1
pgXP_039692350.1	rfXP_032951948.1
pgXP_039692350.1	sbXP_066128925.1
pgXP_039692350.1	pgXP_039692348.1
pgXP_039692350.1	pvXP_023390692.1
pgXP_039692350.1	raXP_036080605.1
pgXP_039692350.1	rfXP_032951948.1
pgXP_039692350.1	rfXP_032951952.1
pgXP_039692350.1	rfXP_032951949.1
pgXP_039692350.1	sbXP_066128926.1
pgXP_039692350.1	pgXP_039692349.1
pgXP_039692350.1	pvXP_023390693.1
pgXP_039692350.1	raXP_036080606.1
pgXP_039692350.1	raXP_036080605.1
pgXP_039692350.1	rfXP_032951949.1
pgXP_039692350.1	rfXP_032951945.1
pgXP_039692350.1	rfXP_032951950.1
pgXP_039692350.1	sbXP_066128927.1
pgXP_039692350.1	pgXP_039692348.1
pgXP_039692350.1	pgXP_039692350.1
pgXP_039692350.1	raXP_036080607.1
pgXP_039692350.1	raXP_036080606.1
pgXP_039692350.1	rfXP_032951950.1
pgXP_039692350.1	rfXP_032951947.1
pgXP_039692350.1	rfXP_032951951.1
pgXP_039692350.1	sbXP_066128928.1
pgXP_039692350.1	pgXP_039692349.1
pgXP_039692350.1	pgXP_039692351.1
pgXP_039692350.1	pvXP_011365755.1
pgXP_039692350.1	raXP_036080608.1
pgXP_039692350.1	raXP_036080607.1
pgXP_039692350.1	rfXP_032951951.1
pgXP_039692350.1	rfXP_032951948.1
pgXP_039692350.1	rfXP_032951952.1
pgXP_039692350.1	pgXP_039692350.1
pgXP_039692350.1	pgXP_039692352.1
pgXP_039692350.1	pvXP_023390691.1
pgXP_039692350.1	raXP_036080609.1
pgXP_039692350.1	raXP_036080608.1
pgXP_039692350.1	rfXP_032951952.1
pgXP_039692350.1	rfXP_032951947.1
pgXP_039692350.1	rfXP_032951949.1
pgXP_039692350.1	rfXP_032951945.1
pgXP_039692350.1	pgXP_039692351.1
pgXP_039692350.1	pgXP_039692353.1
pgXP_039692350.1	pvXP_023390692.1
pgXP_039692350.1	raXP_036080605.1
pgXP_039692350.1	raXP_036080609.1
pgXP_039692350.1	rfXP_032951945.1
pgXP_039692350.1	rfXP_032951948.1
pgXP_039692350.1	rfXP_032951950.1
pgXP_039692350.1	rfXP_032951947.1
pgXP_039692350.1	pgXP_039692352.1
pgXP_039692350.1	pgXP_039692348.1
pgXP_039692350.1	pvXP_023390693.1
pgXP_039692350.1	raXP_036080606.1
pgXP_039692350.1	raXP_036080605.1
pgXP_039692350.1	rfXP_032951949.1
pgXP_039692350.1	rfXP_032951951.1
pgXP_039692350.1	rfXP_032951948.1
pgXP_039692350.1	paXP_006923043.1
pgXP_039692350.1	pgXP_039692353.1
pgXP_039692350.1	pgXP_039692349.1
pgXP_039692350.1	raXP_036080607.1
pgXP_039692350.1	raXP_036080606.1
pgXP_039692350.1	rfXP_032951950.1
pgXP_039692350.1	rfXP_032951952.1
pgXP_039692350.1	rfXP_032951949.1
pgXP_039692350.1	sbXP_066128921.1
pgXP_039692350.1	paXP_006923043.1
pgXP_039692350.1	pgXP_039692348.1
pgXP_039692350.1	pgXP_039692350.1
pgXP_039692350.1	raXP_036080608.1
pgXP_039692350.1	raXP_036080607.1
pgXP_039692350.1	rfXP_032951951.1
pgXP_039692350.1	rfXP_032951945.1
pgXP_039692350.1	rfXP_032951950.1
pgXP_039692350.1	sbXP_066128923.1
pgXP_039692350.1	pgXP_039692349.1
pgXP_039692350.1	pgXP_039692351.1
pgXP_039692350.1	raXP_036080609.1
pgXP_039692350.1	raXP_036080608.1
pgXP_039692350.1	rfXP_032951952.1
pgXP_039692350.1	rfXP_032951947.1
pgXP_039692350.1	rfXP_032951951.1
pgXP_039692350.1	sbXP_066128921.1
pgXP_039692350.1	sbXP_066128924.1
pgXP_039692350.1	pgXP_039692350.1
pgXP_039692350.1	pgXP_039692352.1
pgXP_039692350.1	pvXP_011365755.1
pgXP_039692350.1	raXP_036080605.1
pgXP_039692350.1	raXP_036080609.1
pgXP_039692350.1	rfXP_032951945.1
pgXP_039692350.1	rfXP_032951948.1
pgXP_039692350.1	rfXP_032951952.1
pgXP_039692350.1	sbXP_066128923.1
pgXP_039692350.1	sbXP_066128925.1
pgXP_039692350.1	paXP_006923043.1
pgXP_039692350.1	pgXP_039692351.1
pgXP_039692350.1	pgXP_039692353.1
pgXP_039692350.1	pvXP_023390691.1
pgXP_039692350.1	raXP_036080606.1
pgXP_039692350.1	rfXP_032951949.1
pgXP_039692350.1	rfXP_032951945.1
pgXP_039692350.1	sbXP_066128924.1
pgXP_039692350.1	sbXP_066128926.1
pgXP_039692350.1	paXP_006923043.1
pgXP_039692350.1	pgXP_039692352.1
pgXP_039692350.1	pvXP_023390692.1
pgXP_039692350.1	pvXP_011365755.1
pgXP_039692350.1	raXP_036080607.1
pgXP_039692350.1	rfXP_032951950.1
pgXP_039692350.1	sbXP_066128925.1
pgXP_039692350.1	sbXP_066128927.1
pgXP_039692350.1	paXP_006923043.1
pgXP_039692350.1	pgXP_039692353.1
pgXP_039692350.1	pgXP_039692348.1
pgXP_039692350.1	pvXP_023390693.1
pgXP_039692350.1	pvXP_023390691.1
pgXP_039692350.1	raXP_036080608.1
pgXP_039692350.1	raXP_036080605.1
pgXP_039692350.1	rfXP_032951951.1
pgXP_039692350.1	sbXP_066128926.1
pgXP_039692350.1	sbXP_066128928.1
pgXP_039692350.1	paXP_006923043.1
pgXP_039692350.1	pgXP_039692348.1
pgXP_039692350.1	pgXP_039692349.1
pgXP_039692350.1	pvXP_011365755.1
pgXP_039692350.1	pvXP_023390692.1
pgXP_039692350.1	raXP_036080609.1
pgXP_039692350.1	raXP_036080606.1
pgXP_039692350.1	rfXP_032951952.1
pgXP_039692350.1	sbXP_066128927.1
pgXP_039692350.1	sbXP_066128921.1
pgXP_039692350.1	paXP_006923043.1
pgXP_039692350.1	pgXP_039692349.1
pgXP_039692350.1	pgXP_039692350.1
pgXP_039692350.1	pvXP_023390691.1
pgXP_039692350.1	pvXP_023390693.1
pgXP_039692350.1	raXP_036080605.1
pgXP_039692350.1	raXP_036080607.1
pgXP_039692350.1	rfXP_032951945.1
pgXP_039692350.1	sbXP_066128928.1
pgXP_039692350.1	sbXP_066128923.1
pgXP_039692350.1	paXP_006923043.1
pgXP_039692350.1	pgXP_039692350.1
pgXP_039692350.1	pgXP_039692351.1
pgXP_039692350.1	pvXP_023390692.1
pgXP_039692350.1	pvXP_011365755.1
pgXP_039692350.1	raXP_036080606.1
pgXP_039692350.1	raXP_036080608.1
pgXP_039692350.1	rfXP_032951947.1
pgXP_039692350.1	sbXP_066128921.1
pgXP_039692350.1	sbXP_066128924.1
pgXP_039692350.1	pgXP_039692351.1
pgXP_039692350.1	pgXP_039692352.1
pgXP_039692350.1	pvXP_023390693.1
pgXP_039692350.1	pvXP_023390691.1
pgXP_039692350.1	raXP_036080607.1
pgXP_039692350.1	raXP_036080609.1
pgXP_039692350.1	rfXP_032951948.1
pgXP_039692350.1	sbXP_066128923.1
pgXP_039692350.1	sbXP_066128925.1
pgXP_039692350.1	pgXP_039692352.1
pgXP_039692350.1	pgXP_039692353.1
pgXP_039692350.1	pvXP_011365755.1
pgXP_039692350.1	pvXP_023390692.1
pgXP_039692350.1	raXP_036080608.1
pgXP_039692350.1	rfXP_032951949.1
pgXP_039692350.1	sbXP_066128921.1
pgXP_039692350.1	sbXP_066128921.1
pgXP_039692350.1	sbXP_066128924.1
pgXP_039692350.1	sbXP_066128926.1
pgXP_039692350.1	pgXP_039692353.1
pgXP_039692350.1	pgXP_039692348.1
pgXP_039692350.1	pvXP_023390691.1
pgXP_039692350.1	pvXP_023390693.1
pgXP_039692350.1	raXP_036080609.1
pgXP_039692350.1	rfXP_032951950.1
pgXP_039692350.1	sbXP_066128923.1
pgXP_039692350.1	sbXP_066128923.1
pgXP_039692350.1	sbXP_066128921.1
pgXP_039692350.1	sbXP_066128925.1
pgXP_039692350.1	sbXP_066128927.1
pgXP_039692350.1	pgXP_039692348.1
pgXP_039692350.1	pgXP_039692349.1
pgXP_039692350.1	pvXP_023390692.1
pgXP_039692350.1	rfXP_032951951.1
pgXP_039692350.1	sbXP_066128924.1
pgXP_039692350.1	sbXP_066128924.1
pgXP_039692350.1	sbXP_066128923.1
pgXP_039692350.1	sbXP_066128926.1
pgXP_039692350.1	sbXP_066128928.1
pgXP_039692350.1	pgXP_039692349.1
pgXP_039692350.1	pgXP_039692350.1
pgXP_039692350.1	pvXP_023390693.1
pgXP_039692350.1	rfXP_032951952.1
pgXP_039692350.1	sbXP_066128925.1
pgXP_039692350.1	sbXP_066128925.1
pgXP_039692350.1	sbXP_066128924.1
pgXP_039692350.1	sbXP_066128927.1
pgXP_039692350.1	sbXP_066128921.1
pgXP_039713818.1	pgXP_039713818.1
pgXP_039713818.1	pgXP_039713825.1
pgXP_039713818.1	pgXP_039713830.1
pgXP_039713818.1	paXP_006917282.1
pgXP_039713818.1	pgXP_039713834.1
pgXP_039713818.1	paXP_006917282.1
pgXP_039713818.1	pvXP_011381579.1
pgXP_039705801.1	pgXP_039705801.1
pgXP_039705801.1	paXP_006923656.1
pgXP_039705801.1	paXP_006923657.1
pgXP_039705801.1	paXP_006923656.1
pgXP_039705801.1	pvXP_011379360.1
pgXP_039705801.1	paXP_006923657.1
pgXP_039705801.1	pvXP_011379361.1
pgXP_039705801.1	paXP_006923656.1
pgXP_039705801.1	paXP_006923656.1
pgXP_039705801.1	pvXP_011379360.1
pgXP_039705801.1	paXP_006923657.1
pgXP_039705801.1	paXP_006923657.1
pgXP_039705801.1	pvXP_011379361.1
pgXP_039705801.1	paXP_006923656.1
pgXP_039705801.1	pvXP_011379360.1
pgXP_039705801.1	paXP_006923657.1
pgXP_039705801.1	pgXP_039705798.1
pgXP_039705801.1	pvXP_011379361.1
pgXP_039705801.1	pgXP_039705799.1
pgXP_039705801.1	pvXP_011379360.1
pgXP_039705801.1	pvXP_011379360.1
pgXP_039705801.1	pgXP_039705800.1
pgXP_039705801.1	pvXP_011379361.1
pgXP_039705801.1	pvXP_011379361.1
pgXP_039705801.1	pgXP_039705798.1
pgXP_039705801.1	pgXP_039705801.1
pgXP_039705801.1	pvXP_011379360.1
pgXP_039705801.1	pgXP_039705799.1
pgXP_039705801.1	pgXP_039705798.1
pgXP_039705801.1	pvXP_011379361.1
pgXP_039705801.1	pgXP_039705800.1
pgXP_039705801.1	pgXP_039705799.1
pgXP_039705801.1	pgXP_039705801.1
pgXP_039705801.1	pgXP_039705800.1
pgXP_039705801.1	pgXP_039705798.1
pgXP_039705801.1	pgXP_039705801.1
pgXP_039705801.1	pgXP_039705799.1
pgXP_039705801.1	pgXP_039705800.1
pgXP_039705801.1	pgXP_039705801.1
pgXP_039705801.1	pgXP_039705798.1
pgXP_039705801.1	pgXP_039705799.1
pgXP_039705801.1	pgXP_039705800.1
pgXP_039705801.1	pgXP_039705801.1
pgXP_039705801.1	paXP_006923656.1
pgXP_039705801.1	pgXP_039705798.1
pgXP_039705801.1	paXP_006923657.1
pgXP_039705801.1	pgXP_039705799.1
pgXP_039705801.1	pgXP_039705800.1
pgXP_039723820.1	pgXP_039723820.1
pgXP_039723820.1	pvXP_011365097.1
pgXP_039723820.1	paXP_024899740.1
pgXP_039723820.1	pvXP_023390313.1
pgXP_039723820.1	paXP_006904367.1
phXP_045712167.1	phXP_045712167.1
phXP_045712167.1	pdXP_028385105.1
phXP_045712167.1	pdXP_028385105.1
phXP_045712167.1	phXP_045712168.1
phXP_045712167.1	phXP_045712167.1
phXP_045712167.1	phXP_045712168.1
phXP_045714998.1	phXP_045714998.1
phXP_045714998.1	pvXP_011359170.1
phXP_045714998.1	raXP_015978156.1
phXP_045714998.1	moXP_036133436.1
phXP_045714998.1	phXP_045715008.1
phXP_045714998.1	pvXP_011359171.1
phXP_045714998.1	raXP_015978157.1
phXP_045714998.1	phXP_045715018.1
phXP_045714998.1	pvXP_011359170.1
phXP_045714998.1	pvXP_011359171.1
phXP_045714998.1	sbXP_066109610.1
phXP_045714998.1	pvXP_011359170.1
phXP_045714998.1	sbXP_066109611.1
phXP_045714998.1	pgXP_039739282.1
phXP_045714998.1	pvXP_011359171.1
phXP_045714998.1	sbXP_066109612.1
phXP_045714998.1	pgXP_039739282.1
phXP_045714998.1	pvXP_011359170.1
phXP_045714998.1	sbXP_066109610.1
phXP_045714998.1	pgXP_039739282.1
phXP_045714998.1	phXP_045714998.1
phXP_045714998.1	pvXP_011359171.1
phXP_045714998.1	sbXP_066109611.1
phXP_045714998.1	pgXP_039739282.1
phXP_045714998.1	phXP_045715008.1
phXP_045714998.1	pvXP_011359170.1
phXP_045714998.1	raXP_015978153.1
phXP_045714998.1	sbXP_066109612.1
phXP_045714998.1	pgXP_039739282.1
phXP_045714998.1	phXP_045715018.1
