representative	member
efXP_054585786.1	['efXP_054585786.1', 'mmXP_036189534.1', 'mdXP_059520796.1', 'pnCAK6435931.1', 'moXP_036123039.1', 'phXP_045712833.1', 'drXP_053785887.1', 'pdXP_035886263.1', 'sbXP_066101079.1', 'rfXP_032988980.1', 'paXP_006909120.1', 'pvXP_011373754.1', 'raXP_036075917.1', 'raXP_016005345.2', 'ajXP_036984473.2', 'pgXP_039692746.1', 'enKAK1332718.1']
enKAK1331869.1	['enKAK1331869.1']
enKAK1332010.1	['enKAK1332010.1', 'enKAK1332010.1', 'enKAK1332010.1']
enKAK1332448.1	['enKAK1332448.1', 'enKAK1332448.1']
enKAK1332449.1	['enKAK1332449.1', 'enKAK1332449.1', 'pkXP_036287403.1']
enKAK1336469.1	['enKAK1336469.1']
enKAK1336773.1	['enKAK1336773.1', 'enKAK1336773.1', 'enKAK1336773.1', 'enKAK1336773.1']
enKAK1337084.1	['enKAK1337084.1']
enKAK1341943.1	['enKAK1341943.1']
enKAK1341944.1	['enKAK1341944.1']
enKAK1343221.1	['enKAK1343221.1']
enKAK1344246.1	['enKAK1344246.1']
enKAK1344928.1	['enKAK1344928.1']
mbXP_005874650.2	['mbXP_005874650.2', 'paXP_024907872.1', 'paXP_024907871.1']
mbXP_005884529.1	['mbXP_005884529.1', 'efXP_008142238.2', 'ajXP_036981549.2', 'ajXP_036981550.2', 'ajXP_053515791.1', 'pdXP_028382457.1', 'pdXP_035867348.1', 'pdXP_035867349.1', 'phXP_045677179.1', 'phXP_045677180.1', 'phXP_045677181.1', 'raXP_036084700.1', 'drXP_045042596.2', 'drXP_045042595.2', 'pvXP_011372234.1', 'pgXP_039722214.1', 'pvXP_011372233.1', 'mlXP_014309679.1', 'mmXP_036156424.1', 'mmXP_036156425.1', 'mmXP_036156426.1', 'mdXP_059541088.1', 'mdXP_059541089.1', 'mdXP_059541090.1', 'rfXP_032961045.1', 'sbXP_066090843.1', 'sbXP_066090844.1', 'moXP_036106029.1', 'pkXP_036315178.1', 'pnCAK6442734.1', 'pkXP_045444738.1', 'pkXP_045444739.1']
mbXP_014385849.1	['mbXP_014385849.1', 'mbXP_014385849.1']
mbXP_014388317.1	['mbXP_014388317.1', 'pkXP_045433218.1', 'mdXP_059563469.1', 'rfXP_032950945.1', 'mmXP_036179527.1', 'mlXP_023604039.1', 'efXP_054580208.1']
mbXP_014394465.1	['mbXP_014394465.1']
mbXP_014396985.1	['mbXP_014396985.1', 'mbXP_014396985.1', 'efXP_054576701.1', 'pdXP_028368189.1', 'pvXP_011376275.1', 'mdXP_059546018.1', 'pkXP_036302786.1', 'pkXP_036302786.1', 'phXP_045715949.1', 'raXP_015995547.2', 'phXP_045715951.1', 'raXP_015995547.2', 'pgXP_039732588.1', 'phXP_045715949.1', 'pnCAK6441000.1', 'pgXP_039732588.1', 'phXP_045715951.1', 'pnCAK6441000.1', 'moXP_036112834.1', 'mmXP_036208257.1', 'moXP_036112834.1', 'mmXP_036208257.1', 'paXP_006904035.1', 'paXP_006904035.1', 'sbXP_066125618.1', 'ajXP_037005382.2', 'sbXP_066125618.1', 'drXP_053777311.1', 'drXP_053777311.1', 'mlXP_023617709.1', 'mlXP_023617709.1', 'mdXP_059546018.1', 'efXP_054576701.1', 'rfXP_032971591.1', 'ajXP_037005382.2', 'pdXP_028368189.1', 'pvXP_011376275.1', 'rfXP_032971591.1']
mbXP_014402894.1	['mbXP_014402894.1', 'raXP_036075030.1', 'pgXP_039709047.1', 'drXP_024432394.2', 'pdXP_035880209.1', 'pdXP_028365352.1', 'rfXP_032959382.1', 'moXP_036104240.1']
mbXP_014404503.1	['mbXP_014404503.1']
mdXP_059543945.1	['mdXP_059543945.1', 'mdXP_059543945.1', 'pnCAK6441598.1', 'moXP_036099613.1', 'pgXP_039712880.1', 'rfXP_032943959.1', 'pgXP_039712880.1', 'pkXP_036303576.1', 'efXP_008156341.2', 'drXP_024413955.2', 'efXP_008156341.2', 'mlXP_023614632.1', 'mlXP_023614632.1', 'mmXP_036206523.1', 'pdXP_028361000.1', 'sbXP_066097405.1', 'pdXP_028361000.1', 'pkXP_036303576.1', 'paXP_015448515.1', 'drXP_024413955.2', 'rfXP_032943959.1', 'pvXP_011352819.1', 'ajXP_037016740.2', 'mbXP_005861305.1', 'phXP_045707912.1', 'phXP_045707912.1', 'moXP_036099613.1', 'paXP_015448515.1', 'pvXP_011352819.1', 'sbXP_066097405.1', 'mmXP_036206523.1', 'raXP_016000182.1', 'raXP_016000182.1', 'mbXP_005861305.1', 'ajXP_037016740.2', 'pnCAK6441598.1', 'enKAK1343820.1', 'enKAK1343820.1']
mdXP_059557151.1	['mdXP_059557151.1', 'paXP_024898664.1', 'pkXP_036269078.1', 'pdXP_035880254.1', 'pgXP_039709191.1', 'sbXP_066109824.1']
mdXP_059557254.1	['mdXP_059557254.1', 'pnCAK6446848.1', 'phXP_045698827.1', 'rfXP_032959383.1', 'mlXP_023610082.1', 'mmXP_036173182.1', 'paXP_006926467.1', 'sbXP_066109298.1', 'pvXP_023386970.1', 'drXP_024432393.2', 'efXP_054578210.1', 'moXP_036104239.1', 'mbXP_005875927.1', 'ajXP_053520981.1', 'pkXP_036270795.1']
mdXP_059559630.1	['mdXP_059559630.1', 'mdXP_059559626.1']
mlXP_014302640.2	['mlXP_014302640.2']
mlXP_014311711.1	['mlXP_014311711.1', 'mmXP_036172394.1', 'pgXP_039726690.1', 'sbXP_066104054.1', 'mlXP_014311712.1', 'sbXP_066104055.1', 'pvXP_011363082.1', 'pvXP_011363082.1', 'paXP_006926161.1', 'pvXP_011363082.1', 'mbXP_005884752.1', 'paXP_006926161.1', 'mbXP_014387630.1', 'paXP_006926161.1', 'mbXP_005884752.1', 'mdXP_059556094.1', 'mbXP_014387630.1', 'mdXP_059556095.1', 'mdXP_059556094.1', 'mbXP_005884752.1', 'mdXP_059556095.1', 'mbXP_014387630.1', 'raXP_016019105.1', 'moXP_036103987.1', 'raXP_016019107.1', 'moXP_036103987.1', 'raXP_016019105.1', 'sbXP_066104054.1', 'moXP_036103987.1', 'raXP_016019107.1', 'sbXP_066104055.1', 'pgXP_039726689.1', 'pgXP_039726690.1', 'efXP_054577731.1', 'mlXP_014311711.1', 'rfXP_032958570.1', 'rfXP_032958570.1', 'mlXP_014311712.1', 'rfXP_032958569.1', 'rfXP_032958569.1', 'efXP_054577731.1', 'efXP_054577731.1', 'mmXP_036172393.1', 'mmXP_036172394.1', 'mmXP_036172393.1', 'raXP_016019105.1', 'mmXP_036172394.1', 'pgXP_039726689.1', 'raXP_016019107.1', 'rfXP_032958570.1', 'mdXP_059556094.1', 'mlXP_014311711.1', 'pgXP_039726690.1', 'rfXP_032958569.1', 'sbXP_066104054.1', 'mdXP_059556095.1', 'mlXP_014311712.1', 'mmXP_036172393.1', 'pgXP_039726689.1', 'sbXP_066104055.1', 'ajXP_037013979.2', 'ajXP_037013977.2', 'ajXP_037013979.2', 'ajXP_037013977.2', 'ajXP_037013979.2', 'ajXP_037013977.2', 'pkXP_045429024.1', 'pkXP_036269235.1', 'pkXP_045429024.1', 'pkXP_036269235.1', 'pkXP_045429024.1', 'pkXP_036269235.1', 'pdXP_028365395.1', 'pdXP_035880492.1', 'pdXP_035880493.1', 'phXP_045699728.1', 'phXP_045699728.1', 'pdXP_028365395.1', 'pdXP_035880492.1', 'pdXP_035880493.1', 'drXP_045044630.2', 'phXP_045699728.1', 'drXP_045044630.2', 'drXP_045044630.2', 'pdXP_028365395.1', 'pdXP_035880492.1', 'pdXP_035880493.1']
mlXP_023614016.1	['mlXP_023614016.1', 'phXP_045691449.1', 'drXP_024421119.2', 'pdXP_035882263.1', 'ajXP_053511494.1', 'pvXP_023383899.1', 'raXP_036091786.1', 'raXP_015983563.2', 'pgXP_039694664.1', 'sbXP_066121053.1', 'mmXP_036204354.1', 'moXP_036112668.1', 'mdXP_059544964.1', 'pkXP_036302577.1', 'pnCAK6441302.1', 'rfXP_032969176.1', 'efXP_054577372.1']
mlXP_023614891.1	['mlXP_023614891.1', 'pkXP_045431309.1', 'mbXP_014386531.1', 'mmXP_036176328.1', 'moXP_036109254.1', 'mmXP_036176329.1', 'mdXP_059559339.1', 'pkXP_045431310.1', 'mdXP_059559340.1', 'efXP_054578822.1', 'pvXP_011362401.1', 'raXP_036093145.1', 'drXP_024419626.2', 'rfXP_032967926.1', 'sbXP_066088923.1', 'ajXP_036995131.2', 'paXP_015440871.1', 'pgXP_039711718.1', 'pdXP_028365192.1', 'phXP_045709694.1', 'pnCAK6448294.1']
mlXP_023619347.1	['mlXP_023619347.1']
mlXP_023619355.1	['mlXP_023619355.1', 'efXP_054585319.1', 'paXP_015447666.1', 'mdXP_059517957.1', 'drXP_053779412.1', 'raXP_015976549.1', 'raXP_015976539.1', 'pkXP_045437740.1', 'pkXP_045437738.1', 'pkXP_045437742.1', 'rfXP_032986764.1', 'pgXP_039727934.1', 'pnCAK6436369.1', 'moXP_036120584.1', 'moXP_036120586.1', 'moXP_036120594.1', 'moXP_036120585.1', 'moXP_036120590.1', 'pdXP_035882753.1', 'phXP_045697939.1', 'moXP_036120599.1', 'ajXP_053520015.1', 'mmXP_036192846.1', 'mmXP_036192845.1', 'sbXP_066100244.1']
mlXP_023619877.1	['mlXP_023619877.1', 'pnCAK6439258.1', 'pkXP_036308676.1', 'mdXP_059529699.1', 'mbXP_014405152.1', 'mmXP_036200025.1', 'pdXP_035870933.1', 'moXP_036128066.1', 'ajXP_037008945.2', 'ajXP_037008943.2', 'ajXP_037008944.2', 'paXP_006919634.1', 'ajXP_037008946.2', 'paXP_015450902.1', 'phXP_045672472.1', 'pvXP_011366519.1', 'phXP_045672471.1', 'phXP_045672474.1', 'pdXP_028358439.1', 'moXP_036128062.1', 'phXP_045672473.1', 'raXP_036091025.1', 'moXP_036128061.1', 'raXP_036091026.1', 'drXP_024425845.2', 'drXP_024425844.2', 'drXP_024425843.2', 'pdXP_028358438.1', 'efXP_008145312.2', 'rfXP_032948924.1', 'rfXP_032948923.1', 'sbXP_066102920.1', 'rfXP_032948922.1', 'sbXP_066102921.1', 'moXP_036128063.1', 'pgXP_039725532.1']
mmXP_036206808.1	['mmXP_036206808.1', 'raXP_015999036.2', 'pkXP_036302070.1', 'mdXP_059542707.1', 'phXP_045708658.1', 'moXP_036098767.1', 'drXP_053773797.1', 'rfXP_032982119.1', 'sbXP_066115249.1', 'ajXP_037014101.2', 'mbXP_005878994.1', 'efXP_054569605.1', 'pnCAK6442006.1', 'pgXP_039735701.1', 'pgXP_039735702.1', 'pdXP_028359451.1', 'enKAK1344247.1']
moXP_036104047.1	['moXP_036104047.1', 'paXP_006907458.1', 'rfXP_032958547.1', 'paXP_006907457.1', 'raXP_016002516.2', 'mdXP_059558009.1', 'moXP_036104048.1', 'pkXP_036270621.1', 'ajXP_053526653.1', 'paXP_006907456.1', 'pvXP_011371733.1', 'pvXP_011371734.1', 'ajXP_036990362.2', 'paXP_006907457.1', 'pvXP_011371734.1', 'ajXP_053526652.1', 'pgXP_039712154.1', 'phXP_045690916.1', 'mdXP_059558007.1', 'moXP_036104048.1', 'pgXP_039712149.1', 'raXP_016002514.2', 'moXP_036104049.1', 'rfXP_032958547.1', 'mmXP_036212184.1', 'mmXP_036212186.1', 'pvXP_011371735.1', 'rfXP_032958548.1', 'pdXP_028366340.1', 'efXP_054577973.1', 'pdXP_035879804.1', 'rfXP_032958540.1', 'sbXP_066129804.1', 'sbXP_066129871.1', 'drXP_024413489.2', 'drXP_024413487.2', 'pdXP_035879807.1', 'drXP_053770151.1', 'mbXP_014396509.1', 'enKAK1338551.1']
moXP_036109262.1	['moXP_036109262.1']
moXP_036117124.1	['moXP_036117124.1', 'rfXP_032978530.1', 'raXP_016008109.2', 'ajXP_036995372.2', 'paXP_015448840.1', 'pgXP_039722745.1', 'sbXP_066112514.1', 'efXP_008153477.2', 'pkXP_036267922.1', 'pnCAK6433648.1', 'mdXP_059513870.1', 'mbXP_014384373.1', 'drXP_053777366.1', 'drXP_053777376.1', 'mmXP_036185674.1', 'pvXP_023386810.1', 'pdXP_028369172.1', 'phXP_045696659.1']
moXP_036117657.1	['moXP_036117657.1', 'drXP_045051204.2', 'drXP_053778267.1', 'sbXP_066112757.1', 'mmXP_036186123.1', 'mbXP_005870713.2', 'pkXP_036289145.1', 'pdXP_035877859.1', 'pdXP_035877860.1', 'phXP_045696763.1', 'rfXP_032980039.1', 'rfXP_032980038.1', 'ajXP_036996684.2', 'efXP_028001746.2', 'mlXP_023616110.1', 'mdXP_059513460.1']
paXP_006918644.1	['paXP_006918644.1', 'paXP_006918644.1']
paXP_015452437.1	['paXP_015452437.1', 'sbXP_066092383.1', 'pgXP_039720726.1']
paXP_024895640.1	['paXP_024895640.1', 'mlXP_023604588.1', 'pdXP_035865903.1', 'pkXP_036275921.2']
paXP_024896083.1	['paXP_024896083.1', 'raXP_015999024.2']
paXP_024896084.1	['paXP_024896084.1']
paXP_024900748.1	['paXP_024900748.1']
paXP_024901192.1	['paXP_024901192.1', 'pgXP_039717484.1', 'raXP_036092332.1', 'raXP_015999778.2', 'raXP_036092334.1', 'raXP_036092333.1', 'raXP_036092337.1', 'raXP_036092331.1', 'mmXP_036175505.1', 'mmXP_036175506.1', 'mdXP_059559628.1', 'mmXP_036175509.1', 'mmXP_036175507.1', 'efXP_054579301.1', 'mdXP_059559627.1', 'rfXP_032968079.1', 'mbXP_014393091.1', 'mbXP_014393090.1', 'pkXP_036277163.1', 'pkXP_036277169.1', 'pkXP_036277167.1', 'mlXP_023614978.1', 'sbXP_066134954.1', 'sbXP_066134953.1']
pdXP_028382458.1	['pdXP_028382458.1', 'moXP_036106030.1', 'paXP_015442817.1', 'mbXP_005884544.1', 'ajXP_036981553.2', 'raXP_016000744.1', 'rfXP_032961047.1', 'pgXP_039722215.1', 'mmXP_036156427.1', 'pnCAK6442735.1', 'sbXP_066090845.1', 'efXP_054575939.1', 'mdXP_059541091.1', 'pkXP_036315177.1', 'drXP_053772292.1', 'pvXP_023375539.1', 'mlXP_014309680.1', 'phXP_045677183.1']
pdXP_035878563.1	['pdXP_035878563.1', 'phXP_045701565.1', 'phXP_045701574.1', 'phXP_045701568.1', 'phXP_045701575.1', 'ajXP_053511204.1', 'drXP_024419969.2', 'ajXP_053511208.1', 'ajXP_053511206.1', 'ajXP_053511205.1', 'ajXP_037017284.2']
pgXP_039704627.1	['pgXP_039704627.1', 'pnCAK6432904.1', 'moXP_036122018.1', 'sbXP_066088863.1', 'phXP_045676387.1', 'mlXP_023620618.1', 'mbXP_014400217.1', 'mlXP_006101435.1', 'paXP_006918973.1', 'pdXP_035881401.1', 'pkXP_036265250.1', 'ajXP_053513004.1', 'mlXP_023620617.1', 'efXP_054578962.1', 'moXP_036122009.1', 'rfXP_032962209.1', 'pdXP_035881393.1', 'pgXP_039704626.1', 'raXP_036083520.1', 'pvXP_023387182.1', 'paXP_015450366.1']
pgXP_039709975.1	['pgXP_039709975.1', 'pgXP_039709976.1', 'pgXP_039709977.1', 'raXP_016012023.2', 'pgXP_039709975.1', 'pgXP_039709976.1', 'pgXP_039709977.1', 'paXP_015448438.1', 'paXP_015448438.1', 'raXP_016011995.2', 'raXP_016012004.2', 'pgXP_039709979.1', 'raXP_016011995.2', 'raXP_016012004.2', 'phXP_045717175.1', 'mbXP_014388540.1', 'pkXP_036292770.1', 'efXP_054564499.1', 'efXP_054564497.1', 'phXP_045717176.1', 'mlXP_006085309.1', 'pkXP_036292767.1', 'mmXP_036194061.1', 'pnCAK6438837.1', 'mmXP_036194062.1', 'ajXP_037022602.2', 'drXP_024428114.2', 'mmXP_036194061.1', 'phXP_045717178.1', 'ajXP_037022604.2', 'mmXP_036194062.1', 'phXP_045717175.1', 'ajXP_037022602.2', 'mdXP_059527795.1', 'mmXP_036194064.1', 'pdXP_028389848.1', 'phXP_045717176.1', 'mdXP_059527796.1', 'pdXP_035887274.1', 'pkXP_036292767.1', 'mdXP_059527798.1', 'mlXP_006085309.1', 'pdXP_028389848.1', 'sbXP_066121847.1', 'mdXP_059527795.1', 'sbXP_066121849.1', 'efXP_054564497.1', 'mdXP_059527796.1', 'moXP_036120021.1', 'mbXP_014388539.1', 'moXP_036120021.1', 'mlXP_014308166.1', 'drXP_045037614.2', 'mbXP_014388539.1', 'pnCAK6438837.1', 'sbXP_066121847.1', 'drXP_024428114.2', 'rfXP_032982809.1', 'rfXP_032982810.1', 'rfXP_032982809.1', 'pvXP_023386754.1', 'pvXP_023386754.1']
pgXP_039720848.1	['pgXP_039720848.1']
pgXP_039735690.1	['pgXP_039735690.1', 'pgXP_039735690.1']
pkXP_036287402.1	['pkXP_036287402.1', 'pnCAK6435663.1', 'pnCAK6435663.1', 'pkXP_036287402.1', 'pdXP_028373656.2', 'pdXP_028373656.2', 'drXP_024421677.2', 'mmXP_036188538.1', 'mlXP_014306207.1', 'mmXP_036188538.1', 'drXP_024421677.2', 'pgXP_039693043.1', 'rfXP_032987662.1', 'mbXP_014393025.1', 'mbXP_014393025.1', 'paXP_006907354.1', 'rfXP_032987662.1', 'moXP_036123363.1', 'moXP_036123363.1', 'pvXP_011353063.1', 'pvXP_011353063.1', 'paXP_006907354.1', 'pgXP_039693043.1', 'mdXP_059519973.1', 'mdXP_059519973.1', 'efXP_008151470.2', 'mlXP_014306207.1', 'sbXP_066100764.1', 'efXP_008151470.2', 'sbXP_066100764.1', 'ajXP_036999939.2', 'ajXP_036999939.2', 'phXP_045713267.1', 'phXP_045713267.1', 'raXP_015995748.2', 'raXP_015995749.2', 'raXP_015995748.2', 'raXP_015995749.2']
pkXP_045435599.1	['pkXP_045435599.1']
pnCAK6433783.1	['pnCAK6433783.1']
pnCAK6436123.1	['pnCAK6436123.1', 'efXP_054585284.1', 'enKAK1333487.1', 'mmXP_036191961.1', 'mlXP_014317401.1', 'mdXP_059517303.1', 'mbXP_014404900.1', 'mbXP_014404899.1', 'rfXP_032987141.1', 'drXP_024411423.2', 'pkXP_036294829.1', 'pkXP_036294828.1', 'ajXP_037015413.2', 'sbXP_066096436.1', 'pdXP_035883150.1', 'phXP_045710157.1', 'paXP_015451810.1', 'pvXP_023388492.1', 'pgXP_039727214.1', 'raXP_016009945.2', 'moXP_036121837.1']
pnCAK6438969.1	['pnCAK6438969.1', 'pkXP_045437545.1', 'efXP_054564711.1', 'mdXP_059528349.1', 'mmXP_036193447.1', 'rfXP_032982835.1', 'phXP_045717059.1', 'drXP_045037691.2', 'pgXP_039702145.1', 'sbXP_066122478.1', 'pdXP_035887575.1', 'ajXP_037022644.2', 'moXP_036120057.1', 'raXP_016019780.2', 'paXP_006912996.3']
pnCAK6442009.1	['pnCAK6442009.1', 'mbXP_005878995.1', 'mlXP_023619305.1', 'mlXP_023619305.1', 'mdXP_059542677.1', 'mmXP_036205436.1', 'mdXP_059542678.1', 'mmXP_036205437.1', 'ajXP_053513987.1', 'ajXP_053513986.1', 'pdXP_035873401.1', 'drXP_053773720.1', 'pdXP_028359433.1', 'phXP_045708655.1', 'drXP_024418180.2', 'phXP_045708656.1', 'efXP_054569597.1', 'pkXP_036299977.1', 'rfXP_032982342.1', 'sbXP_066115252.1', 'sbXP_066115250.1']
pnCAK6446829.1	['pnCAK6446829.1', 'paXP_015455909.1', 'raXP_015997170.2', 'mdXP_059557150.1', 'pkXP_036269075.1', 'efXP_028012528.2', 'pgXP_039709190.1', 'mbXP_005861497.1', 'ajXP_053520038.1', 'phXP_045699340.1', 'pdXP_028364659.1', 'mmXP_036174184.1', 'moXP_036104963.1', 'rfXP_032955932.1', 'sbXP_066109823.1', 'drXP_053769944.1', 'mlXP_023610051.1', 'pvXP_023380870.1']
pnCAK6447116.1	['pnCAK6447116.1', 'pnCAK6447116.1']
pnCAK6448071.1	['pnCAK6448071.1', 'mbXP_014395210.1', 'mlXP_023617883.1', 'mdXP_059560829.1', 'paXP_015452034.1', 'pgXP_039700153.1', 'pkXP_045432191.1', 'sbXP_066135218.1', 'phXP_045706251.1', 'moXP_036110658.1', 'pvXP_011354575.1', 'drXP_024419757.2', 'ajXP_037018866.2', 'efXP_054579318.1', 'pdXP_028364519.1', 'mmXP_036174915.1', 'raXP_016004417.1', 'rfXP_032968394.1']
pnCAK6448372.1	['pnCAK6448372.1']
pvXP_011364365.2	['pvXP_011364365.2', 'pvXP_011364365.2', 'pvXP_011364365.2']
pvXP_011369883.1	['pvXP_011369883.1', 'rfXP_032965701.1', 'ajXP_036995009.2', 'pdXP_028371407.1', 'drXP_053786399.1', 'phXP_045675444.1', 'pgXP_039704955.1', 'raXP_016001994.1', 'pgXP_039704956.1', 'pkXP_036264885.1', 'rfXP_032965700.1', 'pnCAK6444561.1', 'pkXP_036264886.1', 'moXP_036136137.1', 'moXP_036136138.1', 'sbXP_066134136.1', 'sbXP_066134137.1', 'efXP_028001077.2', 'mbXP_005879228.1', 'mmXP_036165987.1', 'efXP_008139941.2', 'mdXP_059547821.1', 'mmXP_036165986.1', 'mlXP_006088330.1']
pvXP_011370487.1	['pvXP_011370487.1']
pvXP_011371702.1	['pvXP_011371702.1']
pvXP_023375667.1	['pvXP_023375667.1']
pvXP_023375668.1	['pvXP_023375668.1']
pvXP_023379523.1	['pvXP_023379523.1']
pvXP_023379525.1	['pvXP_023379525.1']
pvXP_023381581.1	['pvXP_023381581.1']
pvXP_023382380.1	['pvXP_023382380.1']
pvXP_023385035.1	['pvXP_023385035.1', 'efXP_054577447.1', 'pgXP_039692799.1', 'pgXP_039692800.1', 'pgXP_039692797.1', 'rfXP_032971666.1', 'mbXP_014405015.1', 'drXP_045046700.2', 'mbXP_014405016.1', 'drXP_045046701.2', 'mbXP_014405017.1', 'raXP_016005877.2', 'phXP_045715454.1', 'raXP_036087061.1', 'ajXP_053516577.1', 'phXP_045715455.1', 'ajXP_053516579.1', 'ajXP_053516580.1', 'ajXP_037005481.2', 'pdXP_035881568.1', 'pdXP_035881569.1', 'mlXP_014315997.1', 'mlXP_023614215.1', 'paXP_024897224.1', 'pvXP_011356115.1', 'pvXP_011356117.1', 'pvXP_023385034.1', 'sbXP_066125914.1', 'sbXP_066125915.1', 'sbXP_066125910.1', 'sbXP_066125911.1', 'sbXP_066125913.1', 'pnCAK6440872.1', 'mmXP_036205506.1', 'mmXP_036205507.1', 'mdXP_059546388.1', 'mdXP_059546389.1', 'pkXP_036301127.1', 'pkXP_036301126.1', 'moXP_036113078.1']
pvXP_023390003.1	['pvXP_023390003.1', 'paXP_006911651.1', 'pgXP_039711979.1', 'raXP_036095020.1']
pvXP_023391169.1	['pvXP_023391169.1', 'pkXP_036312863.1', 'rfXP_032974167.1', 'raXP_015980006.2', 'rfXP_032974168.1', 'mbXP_005877442.1', 'raXP_036093296.1', 'mmXP_036156974.1', 'pgXP_039738130.1', 'moXP_036107270.1', 'pgXP_039738131.1', 'paXP_024906074.1', 'pnCAK6443521.1', 'efXP_008138825.1', 'paXP_006916906.1', 'mdXP_059538667.1', 'mdXP_059538668.1', 'sbXP_066114086.1', 'pdXP_028387881.1', 'pkXP_036312866.1', 'pdXP_035875015.1', 'ajXP_036991506.1', 'drXP_024431366.1', 'phXP_045686007.1', 'mbXP_005877441.1', 'mlXP_006091542.1']
