qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	bat_prefix
NP_001847.3	myXP_036205507.1	87.877	1625	169	5	1	1604	1	1618	0.0	1988.0	my
NP_001849.2	myXP_036174167.1	86.293	1160	136	3	1	1142	1	1155	0.0	1483.0	my
NP_004360.2	myXP_036175505.1	82.075	3286	461	14	1	3177	1	3267	0.0	5317.0	my
NP_004361.3	myXP_036174184.1	92.365	3065	232	1	1	3063	1	3065	0.0	5441.0	my
NP_005193.1	myXP_036208615.1	95.626	663	29	0	41	703	41	703	0.0	723.0	my
NP_056534.2	myXP_036170325.1	86.907	1749	225	3	1	1745	1	1749	0.0	2106.0	my
NP_065084.2	myXP_036206523.1	92.339	744	55	1	1	744	1	742	0.0	710.0	my
NP_065933.2	myXP_036179527.1	76.439	1286	268	10	8	1281	23	1285	0.0	1778.0	my
NP_066933.1	myXP_036194062.1	91.537	1796	151	1	1	1796	1	1795	0.0	3065.0	my
NP_085059.2	myXP_036205436.1	73.723	1507	341	10	22	1516	27	1490	0.0	1504.0	my
NP_110447.2	myXP_036174072.1	90.909	957	87	0	1	957	1	957	0.0	1565.0	my
NP_115907.2	myXP_036182601.1	88.532	218	17	1	239	448	1	218	1.6600000000000002e-103	316.0	my
NP_116277.2	myXP_036185674.1	86.746	1841	219	5	23	1860	26	1844	0.0	2490.0	my
NP_149162.2	myXP_036156974.1	96.333	1418	50	1	1	1418	72	1487	0.0	2419.0	my
NP_203699.1	myXP_036161589.1	93.022	1691	115	1	1	1691	1	1688	0.0	1617.0	my
NP_378667.1	myXP_036161322.1	81.169	1694	312	3	1	1690	1	1691	0.0	2062.0	my
NP_476505.3	myXP_036175508.1	83.156	1033	166	5	1	1031	1	1027	0.0	1689.0	my
NP_476506.3	myXP_036175507.1	83.712	1234	193	5	1	1232	1	1228	0.0	2018.0	my
NP_476507.3	myXP_036175509.1	80.627	2679	391	13	1	2570	1	2660	0.0	4223.0	my
NP_476508.2	myXP_036175507.1	81.623	3080	438	13	1	2971	1	3061	0.0	4924.0	my
NP_478054.2	myXP_036206159.1	91.83	918	75	0	1	918	1	918	0.0	1475.0	my
NP_478055.2	myXP_036206158.1	91.971	822	66	0	1	822	1	822	0.0	1305.0	my
NP_511040.2	myXP_036173182.1	92.722	632	46	0	45	676	289	920	0.0	714.0	my
NP_542196.2	myXP_036200025.1	93.41	1821	103	3	1	1818	1	1807	0.0	2328.0	my
NP_542197.3	myXP_036200025.1	93.041	1480	88	7	226	1690	328	1807	0.0	1627.0	my
NP_542376.2	myXP_036174184.1	92.017	1879	148	1	23	1899	1187	3065	0.0	3223.0	my
NP_542410.2	myXP_036212186.1	96.378	1629	59	0	1	1629	1	1629	0.0	2840.0	my
NP_542411.2	myXP_036212185.1	87.788	1736	131	6	1	1736	1	1655	0.0	2685.0	my
NP_542412.2	myXP_036212186.1	95.152	1650	59	1	1	1650	1	1629	0.0	2830.0	my
NP_542988.3	myXP_036192848.1	76.945	707	59	7	19	645	19	701	0.0	711.0	my
NP_542990.3	myXP_036192848.1	84.748	695	67	5	19	686	19	701	0.0	763.0	my
NP_542991.3	myXP_036192846.1	82.197	719	62	5	19	695	19	713	0.0	731.0	my
NP_542992.3	myXP_036192846.1	81.047	707	65	5	19	668	19	713	0.0	735.0	my
NP_542995.3	myXP_036192846.1	71.146	707	77	8	19	610	19	713	0.0	627.0	my
NP_569712.2	myXP_036205437.1	76.992	1343	262	7	1	1336	1	1303	0.0	1368.0	my
NP_597714.2	myXP_036165987.1	90.661	439	39	2	1	439	1	437	0.0	575.0	my
NP_690848.1	myXP_036193447.1	85.486	1626	207	5	1	1626	1	1597	0.0	1704.0	my
NP_690850.2	myXP_036204354.1	84.588	1674	251	2	42	1714	7	1674	0.0	2471.0	my
NP_694996.5	myXP_036188539.1	76.049	2526	597	4	1	2524	1	2520	0.0	3952.0	my
NP_775736.2	myXP_036169442.1	87.661	543	58	3	1	540	1	537	0.0	602.0	my
NP_942014.1	myXP_036182601.1	88.532	218	17	1	239	448	1	218	5.97e-103	315.0	my
XP_005246122.1	myXP_036175506.1	81.497	3086	443	13	1	2977	1	3067	0.0	4944.0	my
XP_005246338.1	myXP_036176132.1	80.179	1226	242	1	4	1229	1	1225	0.0	1086.0	my
XP_005247178.1	myXP_036188538.1	85.531	2260	326	1	2	2260	3	2262	0.0	3949.0	my
XP_005250867.1	myXP_036193447.1	86.55	1606	207	4	1	1606	1	1597	0.0	1718.0	my
XP_005251116.1	myXP_036194064.1	91.573	1780	149	1	1	1780	1	1779	0.0	3034.0	my
XP_005270535.1	myXP_036208615.1	95.626	663	29	0	41	703	41	703	0.0	723.0	my
XP_005270536.1	myXP_036208615.1	95.925	638	26	0	1	638	66	703	0.0	679.0	my
XP_006710428.1	myXP_036208257.1	92.722	687	50	0	3	689	2	688	0.0	796.0	my
XP_006715395.1	myXP_036172394.1	91.324	680	59	0	1	680	1	680	0.0	677.0	my
XP_006715396.1	myXP_036172394.1	91.324	680	59	0	1	680	1	680	0.0	677.0	my
XP_006716576.1	myXP_036193447.1	86.242	974	131	1	346	1319	627	1597	0.0	709.0	my
XP_006716714.1	myXP_036194062.1	91.537	1796	151	1	1	1796	1	1795	0.0	3065.0	my
XP_006724679.1	myXP_036161589.1	93.022	1691	115	1	1	1691	1	1688	0.0	1617.0	my
NP_000079.2	daXP_059526641.1	95.219	1464	65	2	1	1464	1	1459	0.0	1734.0	da
NP_000080.2	daXP_059568318.1	92.167	1366	107	0	1	1366	1	1366	0.0	1732.0	da
NP_000081.1	daXP_059558516.1	87.262	1468	184	2	1	1466	1	1467	0.0	1414.0	da
NP_000082.2	daXP_059559340.1	81.287	1678	305	3	1	1670	1	1677	0.0	1465.0	da
NP_000083.3	daXP_059559338.1	80.016	1226	244	1	4	1229	1	1225	0.0	1130.0	da
NP_000084.3	daXP_059514457.1	93.225	1845	105	5	1	1838	1	1832	0.0	2199.0	da
NP_000085.1	daXP_059520796.1	82.812	2944	478	14	1	2943	1	2917	0.0	3732.0	da
NP_000384.2	daXP_059560829.1	96.22	1270	48	0	230	1499	353	1622	0.0	2207.0	da
NP_000484.2	daXP_059556095.1	91.944	571	46	0	110	680	110	680	0.0	641.0	da
NP_000485.3	daXP_059517303.1	83.898	826	122	5	1	819	1	822	0.0	1164.0	da
NP_000486.1	daXP_059536094.1	93.175	1685	115	0	1	1685	1	1685	0.0	1585.0	da
NP_001032852.2	daXP_059568378.1	83.057	1145	165	3	1	1124	1	1137	0.0	1583.0	da
NP_001096078.1	daXP_059519973.1	85.531	2260	326	1	2	2260	3	2262	0.0	3954.0	da
NP_001123575.1	daXP_059517957.1	79.541	567	49	5	184	717	12	544	1.5e-152	456.0	da
NP_001157243.1	daXP_059558009.1	90.65	246	23	0	22	267	22	267	3.29e-147	453.0	da
NP_001177638.1	daXP_059529699.1	93.636	1807	75	2	1	1767	1	1807	0.0	2303.0	da
NP_001243003.1	daXP_059555619.1	84.426	122	19	0	1	122	1	122	3.5e-58	196.0	da
NP_001265227.1	daXP_059519974.1	75.086	2621	638	5	1	2612	1	2615	0.0	4042.0	da
NP_001265492.1	daXP_059547821.1	90.249	441	39	3	1	441	1	437	0.0	570.0	da
NP_001274688.1	daXP_059536091.1	79.398	1694	318	4	1	1666	1	1691	0.0	2026.0	da
NP_001274689.1	daXP_059536091.1	77.568	1694	316	5	1	1633	1	1691	0.0	1976.0	da
NP_001835.3	daXP_059538667.1	97.781	1487	33	0	1	1487	1	1487	0.0	2632.0	da
NP_001836.2	daXP_059541091.1	86.647	1670	222	1	1	1669	1	1670	0.0	1795.0	da
NP_001837.2	daXP_059541090.1	79.556	1712	346	3	1	1712	1	1708	0.0	2039.0	da
NP_001838.2	daXP_059536091.1	81.065	1690	313	3	6	1691	5	1691	0.0	2056.0	da
NP_001839.2	daXP_059542707.1	91.634	1028	85	1	1	1028	1	1027	0.0	1686.0	da
NP_001840.3	daXP_059542708.1	90.579	1019	96	0	1	1019	1	1019	0.0	1654.0	da
NP_001841.2	daXP_059543945.1	92.339	744	55	1	1	744	63	804	0.0	716.0	da
NP_001842.3	daXP_059557254.1	91.087	920	81	1	1	919	1	920	0.0	1202.0	da
NP_001843.1	daXP_059546018.1	93.012	644	45	0	46	689	45	688	0.0	769.0	da
NP_001844.3	daXP_059561071.1	91.406	640	55	0	45	684	41	680	0.0	587.0	da
NP_001845.3	daXP_059529699.1	95.241	1807	85	1	1	1806	1	1807	0.0	2386.0	da
NP_001846.3	daXP_059513460.1	73.677	1417	304	8	1	1388	1	1377	0.0	1570.0	da
NP_001847.3	daXP_059546389.1	88.0	1625	167	5	1	1604	1	1618	0.0	2003.0	da
NP_001849.2	daXP_059555618.1	87.9	1124	131	2	19	1142	19	1137	0.0	1464.0	da
NP_004360.2	daXP_059559626.1	82.884	3225	494	7	1	3177	1	3215	0.0	5296.0	da
NP_004361.3	daXP_059557150.1	92.3	3065	234	1	1	3063	1	3065	0.0	5429.0	da
NP_005193.1	daXP_059546175.1	95.173	663	32	0	41	703	40	702	0.0	716.0	da
NP_056534.2	daXP_059552865.1	86.507	1749	232	3	1	1745	1	1749	0.0	2056.0	da
NP_065084.2	daXP_059543945.1	92.339	744	55	1	1	744	63	804	0.0	716.0	da
NP_065933.2	daXP_059563469.1	71.765	850	183	9	471	1272	473	1313	0.0	1075.0	da
NP_066933.1	daXP_059527796.1	91.537	1796	151	1	1	1796	1	1795	0.0	3063.0	da
NP_085059.2	daXP_059542677.1	73.789	1507	340	10	22	1516	27	1490	0.0	1527.0	da
NP_110447.2	daXP_059557330.1	91.118	957	85	0	1	957	1	957	0.0	1572.0	da
NP_115907.2	daXP_059555619.1	84.426	122	19	0	1	122	1	122	2.94e-58	196.0	da
NP_116277.2	daXP_059513871.1	86.916	1842	217	5	22	1860	20	1840	0.0	2427.0	da
NP_149162.2	daXP_059538668.1	97.955	1418	29	0	1	1418	1	1418	0.0	2478.0	da
NP_203699.1	daXP_059536094.1	92.726	1691	117	1	1	1691	1	1685	0.0	1580.0	da
NP_378667.1	daXP_059536091.1	81.051	1694	314	3	1	1690	1	1691	0.0	2061.0	da
NP_476505.3	daXP_059559629.1	83.253	1033	165	5	1	1031	1	1027	0.0	1694.0	da
NP_476506.3	daXP_059559628.1	83.712	1234	193	5	1	1232	1	1228	0.0	2019.0	da
NP_476507.3	daXP_059559630.1	81.742	2618	420	7	1	2570	1	2608	0.0	4210.0	da
NP_476508.2	daXP_059559628.1	82.544	3019	469	7	1	2971	1	3009	0.0	4910.0	da
NP_478054.2	daXP_059542709.1	91.939	918	74	0	1	918	1	918	0.0	1477.0	da
NP_478055.2	daXP_059542708.1	92.092	822	65	0	1	822	1	822	0.0	1306.0	da
NP_511040.2	daXP_059557254.1	92.405	632	48	0	45	676	289	920	0.0	709.0	da
NP_542196.2	daXP_059529699.1	93.191	1821	107	3	1	1818	1	1807	0.0	2311.0	da
NP_542197.3	daXP_059529699.1	82.678	1807	196	17	1	1690	1	1807	0.0	1793.0	da
NP_542376.2	daXP_059557150.1	91.857	1879	151	1	23	1899	1187	3065	0.0	3219.0	da
NP_542410.2	daXP_059558009.1	96.255	1629	61	0	1	1629	1	1629	0.0	2838.0	da
NP_542411.2	daXP_059558008.1	87.673	1736	133	6	1	1736	1	1655	0.0	2684.0	da
NP_542412.2	daXP_059558009.1	95.03	1650	61	1	1	1650	1	1629	0.0	2828.0	da
NP_542988.3	daXP_059517957.1	78.65	548	54	5	146	645	12	544	3.4e-158	468.0	da
NP_542990.3	daXP_059517957.1	76.642	548	68	6	184	686	12	544	1.1e-153	458.0	da
NP_542991.3	daXP_059517957.1	78.65	548	66	5	184	695	12	544	3.22e-137	416.0	da
NP_542992.3	daXP_059517957.1	72.993	548	70	7	184	668	12	544	4.17e-129	394.0	da
NP_542995.3	daXP_059517957.1	69.725	545	64	7	155	610	12	544	1.29e-120	370.0	da
NP_569712.2	daXP_059542678.1	76.992	1343	262	7	1	1336	1	1303	0.0	1387.0	da
NP_597714.2	daXP_059547821.1	90.661	439	39	2	1	439	1	437	0.0	575.0	da
NP_690848.1	daXP_059528349.1	85.486	1626	207	5	1	1626	1	1597	0.0	1706.0	da
NP_690850.2	daXP_059544964.1	84.373	1715	261	2	1	1714	1	1709	0.0	2498.0	da
NP_694996.5	daXP_059519974.1	75.799	2533	598	5	1	2524	1	2527	0.0	3953.0	da
NP_775736.2	daXP_059554124.1	86.924	543	62	3	1	540	1	537	0.0	620.0	da
NP_942014.1	daXP_059555619.1	84.426	122	19	0	1	122	1	122	4.63e-58	196.0	da
XP_005246122.1	daXP_059559627.1	82.446	3025	473	7	1	2977	1	3015	0.0	4930.0	da
XP_005246338.1	daXP_059559338.1	80.016	1226	244	1	4	1229	1	1225	0.0	1130.0	da
XP_005247178.1	daXP_059519973.1	85.531	2260	326	1	2	2260	3	2262	0.0	3954.0	da
XP_005250867.1	daXP_059528349.1	86.55	1606	207	4	1	1606	1	1597	0.0	1716.0	da
XP_005251116.1	daXP_059527798.1	91.573	1780	149	1	1	1780	1	1779	0.0	3033.0	da
XP_005270535.1	daXP_059546175.1	95.173	663	32	0	41	703	40	702	0.0	716.0	da
XP_005270536.1	daXP_059546175.1	95.455	638	29	0	1	638	65	702	0.0	671.0	da
XP_006710428.1	daXP_059546018.1	93.012	644	45	0	46	689	45	688	0.0	769.0	da
XP_006715395.1	daXP_059556095.1	91.944	571	46	0	110	680	110	680	0.0	641.0	da
XP_006715396.1	daXP_059556095.1	91.944	571	46	0	110	680	110	680	0.0	641.0	da
XP_006716576.1	daXP_059528349.1	86.14	974	132	1	346	1319	627	1597	0.0	710.0	da
XP_006716714.1	daXP_059527796.1	91.537	1796	151	1	1	1796	1	1795	0.0	3063.0	da
XP_006724679.1	daXP_059536094.1	92.726	1691	117	1	1	1691	1	1685	0.0	1580.0	da
NP_000079.2	brXP_005868232.1	93.452	1466	87	4	1	1464	1	1459	0.0	1684.0	br
NP_000080.2	brXP_005876138.1	92.094	1366	108	0	1	1366	1	1366	0.0	1741.0	br
NP_000081.1	brXP_005866335.1	86.898	664	85	1	1	662	1	664	0.0	648.0	br
NP_000082.2	brXP_014386531.1	82.117	1644	292	2	28	1670	4	1646	0.0	1466.0	br
NP_000083.3	brXP_014386495.1	80.343	1226	240	1	4	1229	1	1225	0.0	1071.0	br
NP_000084.3	brXP_014405152.1	74.412	1829	395	15	29	1838	11	1785	0.0	1675.0	br
NP_000085.1	brXP_014394465.1	54.859	1770	600	29	489	2220	100	1708	0.0	1085.0	br
NP_000384.2	brXP_014395210.1	86.089	1107	104	3	15	1071	41	1147	0.0	1259.0	br
NP_000484.2	brXP_014387630.1	91.029	680	61	0	1	680	1	680	0.0	649.0	br
NP_000485.3	brXP_014404900.1	83.816	828	121	5	1	819	1	824	0.0	1134.0	br
NP_000486.1	brXP_005865274.1	93.246	918	62	0	768	1685	768	1685	0.0	1031.0	br
NP_001032852.2	brXP_005876211.1	83.363	1124	164	1	1	1124	1	1101	0.0	1602.0	br
NP_001096078.1	brXP_014393025.1	85.923	2259	318	0	2	2260	3	2261	0.0	3974.0	br
NP_001123575.1	brXP_014385849.1	77.882	425	32	4	84	499	1	372	6.37e-115	353.0	br
NP_001157243.1	brXP_014396509.1	91.393	244	21	0	26	269	10	253	1.7599999999999999e-147	454.0	br
NP_001177638.1	brXP_014405152.1	94.187	1772	63	2	36	1767	14	1785	0.0	2252.0	br
NP_001243003.1	brXP_014400217.1	85.976	656	52	6	1	618	1	654	0.0	735.0	br
NP_001265227.1	brXP_005863660.1	75.172	2614	641	4	1	2612	1	2608	0.0	4031.0	br
NP_001265492.1	brXP_005879228.1	91.517	389	29	3	53	441	10	394	1.23e-176	501.0	br
NP_001274688.1	brXP_014394316.1	79.752	1694	312	4	1	1666	1	1691	0.0	2022.0	br
NP_001274689.1	brXP_014394316.1	77.922	1694	310	5	1	1633	1	1691	0.0	1978.0	br
NP_001835.3	brXP_005877442.1	97.848	1487	32	0	1	1487	1	1487	0.0	2632.0	br
NP_001836.2	brXP_005884544.1	87.117	1630	210	0	40	1669	43	1672	0.0	1821.0	br
NP_001837.2	brXP_005884529.1	80.023	1712	338	3	1	1712	1	1708	0.0	2043.0	br
NP_001838.2	brXP_014394316.1	81.479	1690	306	3	6	1691	5	1691	0.0	2057.0	br
NP_001839.2	brXP_005878994.1	90.753	876	80	1	1	876	1	875	0.0	1408.0	br
NP_001840.3	brXP_005878984.1	92.083	821	65	0	1	821	1	821	0.0	1300.0	br
NP_001841.2	brXP_005861305.1	92.07	744	57	1	1	744	1	742	0.0	706.0	br
NP_001842.3	brXP_005875927.1	91.413	920	78	1	1	919	1	920	0.0	1206.0	br
NP_001843.1	brXP_014396985.1	84.451	656	59	2	38	689	28	644	0.0	642.0	br
NP_001844.3	brXP_005885637.1	90.312	640	62	0	45	684	41	680	0.0	578.0	br
NP_001845.3	brXP_014405152.1	95.824	1772	73	1	36	1806	14	1785	0.0	2336.0	br
NP_001846.3	brXP_005870713.2	74.71	1380	285	8	34	1388	58	1398	0.0	1543.0	br
NP_001847.3	brXP_014405017.1	88.369	1625	168	4	1	1604	1	1625	0.0	1964.0	br
NP_001849.2	brXP_014402895.1	86.352	1143	132	4	19	1142	19	1156	0.0	1467.0	br
NP_004360.2	brXP_014393090.1	82.413	3258	487	8	1	3177	1	3253	0.0	5328.0	br
NP_004361.3	brXP_005861497.1	92.431	3065	230	1	1	3063	1	3065	0.0	5446.0	br
NP_005193.1	brXP_005868649.1	95.777	663	28	0	41	703	41	703	0.0	722.0	br
NP_056534.2	brXP_014389463.1	84.317	1728	254	4	28	1745	44	1764	0.0	1993.0	br
NP_065084.2	brXP_005861305.1	92.07	744	57	1	1	744	1	742	0.0	706.0	br
NP_065933.2	brXP_014388317.1	71.988	1353	275	13	8	1268	23	1363	0.0	1758.0	br
NP_066933.1	brXP_014388539.1	91.727	1789	147	1	8	1796	1	1788	0.0	3060.0	br
NP_085059.2	brXP_005878995.1	71.732	1553	335	14	22	1516	18	1524	0.0	1493.0	br
NP_110447.2	brXP_014392780.1	91.118	957	85	0	1	957	1	957	0.0	1546.0	br
NP_115907.2	brXP_014400217.1	84.615	663	54	3	1	615	1	663	0.0	795.0	br
NP_116277.2	brXP_014384373.1	85.342	1842	220	6	22	1860	57	1851	0.0	2370.0	br
NP_149162.2	brXP_005877441.1	98.025	1418	28	0	1	1418	1	1418	0.0	2479.0	br
NP_203699.1	brXP_005865275.1	93.29	924	62	0	768	1691	768	1691	0.0	1030.0	br
NP_378667.1	brXP_014394316.1	81.464	1694	307	3	1	1690	1	1691	0.0	2065.0	br
NP_476505.3	brXP_014393090.1	84.132	1002	154	2	31	1031	437	1434	0.0	1684.0	br
NP_476506.3	brXP_014393090.1	84.954	1203	176	2	31	1232	236	1434	0.0	2032.0	br
NP_476507.3	brXP_014393091.1	81.101	2651	415	8	1	2570	1	2646	0.0	4233.0	br
NP_476508.2	brXP_014393090.1	81.947	3030	462	7	23	2971	228	3253	0.0	4905.0	br
NP_478054.2	brXP_005878984.1	91.939	918	74	0	1	918	1	918	0.0	1476.0	br
NP_478055.2	brXP_005878984.1	92.195	820	64	0	1	820	1	820	0.0	1297.0	br
NP_511040.2	brXP_005875927.1	92.405	632	48	0	45	676	289	920	0.0	709.0	br
NP_542196.2	brXP_014405152.1	93.729	1786	95	3	36	1818	14	1785	0.0	2262.0	br
NP_542197.3	brXP_014405152.1	83.239	1772	180	17	36	1690	14	1785	0.0	1749.0	br
NP_542376.2	brXP_005861497.1	92.07	1879	147	1	23	1899	1187	3065	0.0	3223.0	br
NP_542410.2	brXP_014396509.1	95.231	1363	58	2	267	1629	358	1713	0.0	1662.0	br
NP_542411.2	brXP_014396509.1	94.389	1711	89	2	26	1736	10	1713	0.0	2305.0	br
NP_542412.2	brXP_014396509.1	89.012	1711	95	8	26	1650	10	1713	0.0	2063.0	br
NP_542988.3	brXP_014385849.1	69.212	406	44	6	84	442	1	372	2.36e-91	290.0	br
NP_542990.3	brXP_014385849.1	81.527	406	32	4	84	480	1	372	4.56e-118	361.0	br
NP_542991.3	brXP_014385849.1	82.134	403	32	4	84	477	1	372	1.27e-118	362.0	br
NP_542992.3	brXP_014385849.1	82.134	403	32	4	84	477	1	372	9.129999999999999e-119	362.0	br
NP_542995.3	brXP_014385849.1	72.705	403	41	5	84	448	1	372	7.15e-108	332.0	br
NP_569712.2	brXP_005878995.1	74.427	1353	254	10	35	1336	213	1524	0.0	1336.0	br
NP_597714.2	brXP_005879228.1	91.99	387	29	2	53	439	10	394	1.27e-178	506.0	br
NP_690848.1	brXP_014404503.1	79.657	875	111	6	1	875	1	808	0.0	1026.0	br
NP_690850.2	brXP_005874650.2	88.795	946	104	1	771	1714	53	998	0.0	1408.0	br
NP_694996.5	brXP_005863660.1	75.891	2526	601	4	1	2524	1	2520	0.0	3943.0	br
NP_942014.1	brXP_014400217.1	87.302	693	49	1	1	654	1	693	0.0	878.0	br
XP_005246122.1	brXP_014393090.1	72.12	3038	739	17	31	2977	233	3253	0.0	4246.0	br
XP_005246338.1	brXP_014386495.1	80.343	1226	240	1	4	1229	1	1225	0.0	1071.0	br
XP_005247178.1	brXP_014393025.1	85.923	2259	318	0	2	2260	3	2261	0.0	3974.0	br
XP_005250867.1	brXP_014404503.1	79.657	875	111	6	1	875	1	808	0.0	1027.0	br
XP_005251116.1	brXP_014388540.1	91.765	1773	145	1	8	1780	1	1772	0.0	3030.0	br
XP_005270535.1	brXP_005868649.1	95.777	663	28	0	41	703	41	703	0.0	722.0	br
XP_005270536.1	brXP_005868649.1	96.082	638	25	0	1	638	66	703	0.0	679.0	br
XP_006710428.1	brXP_014396985.1	84.451	656	59	2	38	689	28	644	0.0	642.0	br
XP_006715395.1	brXP_014387630.1	91.029	680	61	0	1	680	1	680	0.0	649.0	br
XP_006715396.1	brXP_014387630.1	91.029	680	61	0	1	680	1	680	0.0	649.0	br
XP_006716576.1	brXP_014404503.1	81.322	605	83	3	716	1312	1030	1612	4e-152	502.0	br
XP_006716714.1	brXP_014388539.1	91.727	1789	147	1	8	1796	1	1788	0.0	3060.0	br
XP_006724679.1	brXP_005865275.1	93.29	924	62	0	768	1691	768	1691	0.0	1030.0	br
