cluster	members	cluster_size	num_species	short_living_percentage	long_living_percentage	average_silhouette_pident	average_silhouette_evalue
160	['mbXP_005879218.1', 'mlXP_006088314.1', 'mdXP_059549483.1']	3	3	0.0	1.0	0.31666666666666665	0.07051535607540312
164	['mbXP_005883600.1', 'mmXP_036175221.1', 'mdXP_059559275.1']	3	3	0.0	1.0	0.6393333333333334	0.5411018545434603
188	['mdXP_059516699.1', 'mbXP_014389663.1', 'mdXP_059516699.1', 'mbXP_014389663.1', 'mmXP_036167565.1', 'mmXP_036167565.1']	3	3	0.0	1.0	0.5072784986874687	0.1298367195194489
197	['mdXP_059523946.1', 'mbXP_005873582.1', 'mmXP_036202553.1']	3	3	0.0	1.0	0.6476666666666667	0.1282800160538501
201	['mdXP_059524585.1', 'mbXP_014402082.1', 'pkXP_036269783.1', 'mmXP_036192210.1', 'mlXP_023614413.1']	5	5	0.2	0.8	0.2883	0.09711345717784195
210	['mdXP_059534430.1', 'mlXP_006088686.1', 'mbXP_014399779.1', 'mbXP_014399779.1', 'mmXP_036161318.1', 'mdXP_059534430.1', 'mmXP_036161318.1', 'mlXP_006088686.1']	4	4	0.0	1.0	0.4956666666666667	0.4148573241658925
224	['mdXP_059542043.1', 'mdXP_059542043.1', 'mmXP_036207924.1', 'mmXP_036207924.1', 'mbXP_005879398.1', 'mbXP_005879398.1', 'mlXP_006093812.1', 'mlXP_006093812.1']	4	4	0.0	1.0	0.498	0.1102674874617619
232	['mdXP_059552241.1', 'mlXP_006107111.3', 'mbXP_005873941.1']	3	3	0.0	1.0	0.36111723361007037	0.07495930745253705
258	['mlXP_006098793.1', 'mbXP_005859566.1', 'mmXP_036186397.1', 'mdXP_059514754.1']	4	4	0.0	1.0	0.48716666666666664	0.10580338418298338
266	['mlXP_006105219.1', 'mbXP_005861370.1', 'mdXP_059518047.1', 'mmXP_036211863.1']	4	4	0.0	1.0	0.3195	0.3154177516983582
268	['mlXP_006106810.1', 'mlXP_006106810.1', 'mmXP_036189749.1', 'mmXP_036189749.1', 'mmXP_036189749.1', 'mbXP_005867269.1', 'mbXP_005867269.1', 'mbXP_005867269.1', 'mlXP_006106810.1']	3	3	0.0	1.0	0.6666666666666666	0.2574145002565079
270	['mlXP_014302388.1', 'mmXP_036212554.1', 'mbXP_014390000.1']	3	3	0.0	1.0	0.31833333333333336	0.17159180076927663
293	['mlXP_023619702.1', 'mbXP_005876360.1', 'efXP_054576145.1', 'mmXP_036156125.1', 'mdXP_059541778.1']	5	5	0.0	0.8	0.2861333333333333	0.1472081989346925
304	['mmXP_036161841.1', 'mbXP_005864605.2', 'mlXP_006097275.3', 'mdXP_059535291.1']	4	4	0.0	1.0	0.31933333333333336	0.2980724274501181
308	['mmXP_036167549.1', 'mdXP_059515173.1', 'mmXP_036167550.1', 'mlXP_006103068.1']	4	3	0.0	1.0	0.3188333333333333	0.19558660302760655
309	['mmXP_036167552.1', 'mdXP_059515174.1', 'mbXP_005881875.1', 'mlXP_006103069.1']	4	4	0.0	1.0	0.48083333333333333	0.29482123812855376
310	['mmXP_036167554.1', 'mlXP_006103070.1', 'mlXP_006103070.1', 'mdXP_059516698.1', 'mlXP_006103070.1', 'mdXP_059516698.1', 'mdXP_059516698.1', 'mbXP_005859482.1', 'mbXP_005859482.1', 'mbXP_005859482.1', 'mmXP_036167553.1', 'mmXP_036167554.1', 'mmXP_036167553.1', 'mmXP_036167554.1', 'mmXP_036167553.1']	5	4	0.0	1.0	0.25123705198432705	0.07590188154734233
312	['mmXP_036167709.1', 'mbXP_014388848.1', 'mdXP_059551245.1', 'mlXP_023602587.1']	4	4	0.0	1.0	0.4950000000000001	0.2576776526863088
317	['mmXP_036169964.1', 'mdXP_059551869.1', 'mbXP_005870764.1', 'mlXP_023599119.1']	4	4	0.0	1.0	0.48550000000000004	0.15788188150231564
318	['mmXP_036170037.1', 'mdXP_059551317.1', 'mlXP_006100205.1']	3	3	0.0	1.0	0.6376666666666666	0.20404708272256214
324	['mmXP_036181688.1', 'mbXP_005869436.1', 'mlXP_006091908.1', 'mdXP_059565263.1']	4	4	0.0	1.0	0.4810000000000001	0.21756617278873747
329	['mmXP_036187408.1', 'mbXP_005880991.1', 'mlXP_006099421.2', 'mdXP_059513842.1']	4	4	0.0	1.0	0.31933333333333336	0.19361229618649894
332	['mmXP_036192873.1', 'mdXP_059518463.1', 'mlXP_023619354.1', 'mbXP_005882778.1']	4	4	0.0	1.0	0.3454139411959036	0.28206426862416367
335	['mmXP_036193433.1', 'mbXP_005857519.1', 'mlXP_023606071.1', 'efXP_008141853.2', 'mdXP_059523425.1']	5	5	0.0	0.8	0.289	0.271299186020442
341	['mmXP_036199135.1', 'mlXP_014302574.1', 'mdXP_059518431.1', 'mbXP_014400205.1']	4	4	0.0	1.0	0.49049999999999994	0.5000000000000001
355	['mmXP_036211103.1', 'mmXP_036211104.1', 'efXP_028013873.1', 'efXP_028013873.1', 'efXP_028013873.1', 'efXP_028013873.1', 'mlXP_023614365.1', 'mlXP_023614365.1', 'mdXP_059533794.1', 'mlXP_023614365.1', 'mdXP_059533795.1', 'mlXP_023614365.1', 'mdXP_059533794.1', 'mlXP_023614365.1', 'mdXP_059533795.1', 'mdXP_059533794.1', 'mdXP_059533794.1', 'mdXP_059533795.1', 'mdXP_059533795.1', 'mdXP_059533794.1', 'mdXP_059533795.1', 'mmXP_036211102.1', 'mmXP_036211103.1', 'mmXP_036211104.1', 'mmXP_036211102.1', 'efXP_028013873.1', 'mmXP_036211103.1', 'mmXP_036211104.1', 'mmXP_036211102.1', 'mmXP_036211102.1', 'mmXP_036211103.1', 'mmXP_036211103.1', 'mmXP_036211104.1', 'mmXP_036211104.1', 'mmXP_036211102.1']	7	4	0.0	0.8571428571428571	0.27994687680580077	0.2857142857142856
560	['pgXP_039723820.1', 'pvXP_011365097.1', 'paXP_024899740.1', 'pvXP_023390313.1', 'paXP_006904367.1']	5	3	0.8	0.0	0.3872	0.2623797528659653
